label,value
교통관리계 경위 님,240.8966
교통관리계 경사 김진영님,123.656685
교통관리계 경장 김동식님,123.375145
교통관리계 경장 최민용님,121.37271
교통관리계 경장 유영우님,118.44021
세금 경찰복지,107.2
교통관리계 순경 신경철님,92.57143
금융치료,89.333336
경찰청,77.08235
고소인,63.146973
고소장,62.865673
피해자,55.57761
덕은지구 입주,36.0
신호등,34.07767
피의자,33.30337
추돌교통사고,30.193548
대전차 방호벽,28.8
허위사실,28.244541
방호벽 교차,27.9
덕은동,27.797468
불친절,26.181818
가해자,25.359308
강제추행 고소,24.159292
T자모양,24.0
개최날짜,24.0
교통량,24.0
시야확보,24.0
지구 입출입로,24.0
불송치,23.04
과태료,23.035461
명예훼손,21.72152
기피신청,19.895653
이의신청,19.659575
개인정보,19.550562
진술조서 조작,18.93204
민원실,18.6281
정읍지청 황준성 검사,18.6281
고소 사건,18.186666
피고소,17.472
위법행위,16.923077
국가배상소송,16.197184
공권력 행사,15.495146
직무유기,14.553191
범죄자,13.95
검찰송치,13.901639
전화번호,13.892473
수사기관,13.146667
파출소,13.023255
무고죄,12.580646
지구대,12.235294
소극행정,11.351352
정보공개포털,11.304348
이의제기,11.277778
무죄추정원칙 무시,11.142858
카카오택시앱 해킹,11.142858
거짓말,11.117647
사건 접수,10.9375
재정신청,10.909091
피고소인 조사,10.86076
조직적 범죄,10.684932
감사원,10.4
김혜미,10.4
형사소송법,10.135593
직권남용,9.818182
연속성,9.67742
유사성,9.67742
증거자료,9.67742
신호등 설치요청 경찰청,9.545455
공개 청구,9.473684
전주지검,9.428572
진술서,9.428572
횡단보도,9.342465
형사님,9.079365
일처리,9.016394
통지서,8.979591
우편물,8.949153
이유서,8.888889
보험사,8.716981
신고자,8.716981
사건 수사,8.666667
정보공개청구,8.648648
이관 요청,8.571428
녹취록,8.387096
운전면허증,8.311111
해킹 고소사건,8.235294
전체사건,8.210526
조직폭력배 사건,8.210526
지역별,8.210526
서면,8.186047
사건 처리,8.171429
조직 폭력배,8.0
중요내용,8.0
해킹고소,8.0
거주지,7.7272725
검찰청,7.6271186
담당경찰,7.2765956
수수료,7.111111
경찰관,7.02439
음주운전,7.0
변호사,6.8965516
