hits,label,termQuery,prevRatio
409,20221201,20221201d,48.2
276,20221202,20221202d,-32.5
279,20221203,20221203d,1.1
123,20221204,20221204d,-55.9
324,20221205,20221205d,163.4
296,20221206,20221206d,-8.6
302,20221207,20221207d,2.0
357,20221208,20221208d,18.2
295,20221209,20221209d,-17.4
160,20221210,20221210d,-45.8
148,20221211,20221211d,-7.5
329,20221212,20221212d,122.3
293,20221213,20221213d,-10.9
268,20221214,20221214d,-8.5
275,20221215,20221215d,2.6
303,20221216,20221216d,10.2
203,20221217,20221217d,-33.0
201,20221218,20221218d,-1.0
247,20221219,20221219d,22.9
361,20221220,20221220d,46.2
297,20221221,20221221d,-17.7
242,20221222,20221222d,-18.5
259,20221223,20221223d,7.0
144,20221224,20221224d,-44.4
123,20221225,20221225d,-14.6
251,20221226,20221226d,104.1
255,20221227,20221227d,1.6
252,20221228,20221228d,-1.2
207,20221229,20221229d,-17.9
207,20221230,20221230d,0.0
135,20221231,20221231d,-34.8
