hits,label,termQuery,prevRatio
9501,20221201,20221201d,3.4
10437,20221202,20221202d,9.9
11317,20221203,20221203d,8.4
10205,20221204,20221204d,-9.8
9318,20221205,20221205d,-8.7
9625,20221206,20221206d,3.3
10565,20221207,20221207d,9.8
10584,20221208,20221208d,0.2
11122,20221209,20221209d,5.1
12080,20221210,20221210d,8.6
11412,20221211,20221211d,-5.5
9566,20221212,20221212d,-16.2
9412,20221213,20221213d,-1.6
9016,20221214,20221214d,-4.2
9208,20221215,20221215d,2.1
9964,20221216,20221216d,8.2
10514,20221217,20221217d,5.5
10053,20221218,20221218d,-4.4
9231,20221219,20221219d,-8.2
10368,20221220,20221220d,12.3
9743,20221221,20221221d,-6.0
8993,20221222,20221222d,-7.7
8932,20221223,20221223d,-0.7
10994,20221224,20221224d,23.1
10489,20221225,20221225d,-4.6
9861,20221226,20221226d,-6.0
9959,20221227,20221227d,1.0
10064,20221228,20221228d,1.1
10066,20221229,20221229d,0.0
10714,20221230,20221230d,6.4
11540,20221231,20221231d,7.7
