label,value
경찰서,478.0
좌회전,360.0
서울,358.0
조선,266.0
부동산,246.0
의료법,236.0
강진읍,234.0
방향지시등,232.0
범죄사실,228.0
우회전,222.0
화장품,212.0
대법원,210.0
사자명예훼손,196.0
국무총리,194.0
의료인,176.0
중앙선,172.0
고소인,164.0
과태료,160.0
신호위반,160.0
장애인,160.0
녹취록,154.0
사법경찰,154.0
직권남용,152.0
갑제,144.0
미용사,144.0
미점등,144.0
의료행위,144.0
특허기술,144.0
사법부,134.0
반란군,126.0
피고인,120.0
특별조치법,116.0
경기도,114.0
사거리,114.0
의성군,112.0
피부미용,112.0
도로교통,110.0
과천,108.0
신고자,106.0
부정부패,104.0
별양,102.0
대장군,98.0
위반차량,98.0
좌의정,98.0
횡단보도,98.0
무면허의료행위자,96.0
차선변경,96.0
경찰청,94.0
재판부,94.0
보행자,92.0
도로교통법,90.0
등기부,90.0
부정청탁,90.0
자동차,88.0
상호군,84.0
증거자료,84.0
괄사,80.0
국민불편,80.0
미용법,80.0
번호판,80.0
피해자,80.0
행정기본법,80.0
신호등,78.0
지구대,78.0
교차로,76.0
가해자,74.0
운전자,74.0
지시위반,74.0
고조선,70.0
광주,70.0
역주행,70.0
영양군,70.0
진로변경,70.0
하나회,70.0
중국,68.0
경락부위,64.0
무면허의료행위자들,64.0
신청인,64.0
안마행위,64.0
인천시경,64.0
중앙선침범,64.0
특허법원,64.0
피부순환마사지,64.0
네이버,62.0
직무유기,60.0
대구,58.0
민사소송,58.0
포스코,58.0
거란,56.0
고구려,56.0
국가부채,56.0
바지사장,56.0
불송치,56.0
서울시,56.0
중앙선 침범,56.0
참고인,56.0
갑제70호증,54.0
강진군,54.0
권리행사방해,54.0
민사재판,54.0
