label,value
주정차,1114.0
소유주,604.0
불법 주정차,602.0
위례,562.0
다산자연앤자이,518.0
다산,482.0
불법주차,458.0
주정차 신고,450.0
소유자,418.0
입주민,418.0
장애인,388.0
검단,372.0
불법 주정차 신고,368.0
신사선,352.0
시행사,330.0
건축물대장,324.0
서울시,324.0
서울,282.0
건축물,268.0
인천,268.0
행정절차,238.0
충전구역,218.0
단지명,216.0
동의서,212.0
형평성,212.0
실시협약,210.0
운정,210.0
위원회,200.0
다산자연앤,188.0
FIFA,176.0
시공사,176.0
공공분양,174.0
다산자이,168.0
게임물,166.0
편한세상자이,166.0
과태료,158.0
입주자,158.0
다산행정복지센터,154.0
주광덕,152.0
건축물 표시,144.0
공공분양 아파트,140.0
위례 주민,140.0
위례신사선 실시협약,140.0
고양시,134.0
다산자연앤자이 아파트,130.0
덕은지구,128.0
건축물대장 변경,124.0
횡단보도,124.0
경찰서,122.0
국토교통부,122.0
교통난,120.0
게임물관리위원회,118.0
조선,118.0
경기주택도시공사,116.0
국토부,108.0
다산이편한세상자이,108.0
다산자연앤e편한세상자이,108.0
아파트 계급사회,108.0
입주자대표회의,108.0
장애인 전용구역,108.0
Anseong,106.0
분양가,106.0
경기도,104.0
남양주시,104.0
다산동,104.0
충전구역 불법주차,104.0
친환경차,104.0
친환경차 충전구역,104.0
간담회,102.0
정류장,102.0
기타 불법 주정차 신고,98.0
김포,96.0
건축물 표시 변경,92.0
횡단보도 불법 주정차 신고,92.0
남양주,90.0
자이,88.0
법무법인,86.0
여야 정치권,84.0
인천시,84.0
주차장,84.0
고양,82.0
불이익,82.0
소화전,82.0
e편한세상다산,80.0
다산자연앤e편한세상,80.0
검단역,78.0
국무총리,78.0
LH,76.0
다산자연앤자,74.0
시행사 브랜드,74.0
지자체,74.0
부시장,72.0
상품명,72.0
소유물,72.0
승인 요청,72.0
행정 업무,72.0
행정처,72.0
고등학교,70.0
관조적 자세,70.0
교통불편,70.0
